units,date,store_nbr,item_nbr
29,2012-01-01,1,9
2,2012-01-01,1,28
1,2012-01-01,1,51
191,2012-01-01,2,5
215,2012-01-01,2,44
214,2012-01-01,3,5
112,2012-01-01,3,45
61,2012-01-01,4,9
21,2012-01-01,4,27
24,2012-01-01,5,16
1,2012-01-01,5,32
16,2012-01-01,5,37
44,2012-01-01,6,9
86,2012-01-01,6,45
137,2012-01-01,7,5
2,2012-01-01,7,7
16,2012-01-01,7,23
38,2012-01-01,8,5
4,2012-01-01,8,23
131,2012-01-01,9,5
4,2012-01-01,9,10
72,2012-01-01,9,45
4,2012-01-01,9,93
98,2012-01-01,10,5
32,2012-01-01,10,37
3,2012-01-01,10,93
74,2012-01-01,11,9
48,2012-01-01,11,68
29,2012-01-01,12,16
28,2012-01-01,12,37
2,2012-01-01,12,79
1,2012-01-01,12,93
77,2012-01-01,13,5
121,2012-01-01,13,36
1,2012-01-01,13,46
8,2012-01-01,14,9
2,2012-01-01,14,50
2,2012-01-01,14,70
64,2012-01-01,15,5
2,2012-01-01,15,17
108,2012-01-01,15,45
2,2012-01-01,15,49
25,2012-01-01,16,16
187,2012-01-01,16,25
179,2012-01-01,17,9
85,2012-01-01,17,37
147,2012-01-01,17,48
18,2012-01-01,18,5
17,2012-01-01,18,37
21,2012-01-01,19,16
10,2012-01-01,19,83
165,2012-01-01,20,5
37,2012-01-01,20,41
5,2012-01-01,20,74
58,2012-01-01,21,5
129,2012-01-01,21,44
37,2012-01-01,22,9
47,2012-01-01,22,68
3,2012-01-01,22,93
58,2012-01-01,23,5
1,2012-01-01,23,29
35,2012-01-01,23,45
42,2012-01-01,24,6
72,2012-01-01,24,43
1,2012-01-01,24,60
126,2012-01-01,25,9
90,2012-01-01,25,45
11,2012-01-01,25,81
64,2012-01-01,26,5
68,2012-01-01,26,45
26,2012-01-01,27,9
42,2012-01-01,27,68
1,2012-01-01,27,80
65,2012-01-01,28,5
68,2012-01-01,28,45
14,2012-01-01,29,8
37,2012-01-01,29,41
98,2012-01-01,29,45
16,2012-01-01,30,16
120,2012-01-01,30,44
1,2012-01-01,30,49
6,2012-01-01,30,51
40,2012-01-01,31,9
83,2012-01-01,31,45
65,2012-01-01,32,9
46,2012-01-01,32,45
8,2012-01-01,32,58
169,2012-01-01,33,9
354,2012-01-01,33,44
1,2012-01-01,33,85
1,2012-01-01,33,92
36,2012-01-01,34,9
1,2012-01-01,34,31
163,2012-01-01,34,45
1,2012-01-01,34,52
41,2012-01-01,36,9
94,2012-01-01,36,44
77,2012-01-01,37,5
53,2012-01-01,37,45
195,2012-01-01,38,9
135,2012-01-01,38,45
2,2012-01-01,39,9
6,2012-01-01,39,36
76,2012-01-01,40,5
48,2012-01-01,40,45
1,2012-01-01,40,51
42,2012-01-01,41,16
95,2012-01-01,41,68
154,2012-01-01,42,5
98,2012-01-01,42,45
71,2012-01-01,43,16
16,2012-01-01,43,37
26,2012-01-01,44,5
37,2012-01-01,44,68
7,2012-01-01,45,9
60,2012-01-02,1,9
5,2012-01-02,1,28
1,2012-01-02,1,51
147,2012-01-02,2,5
2,2012-01-02,2,11
153,2012-01-02,2,44
223,2012-01-02,3,5
114,2012-01-02,3,45
49,2012-01-02,4,9
9,2012-01-02,4,27
36,2012-01-02,5,16
1,2012-01-02,5,20
29,2012-01-02,5,37
147,2012-01-02,6,9
1,2012-01-02,6,14
85,2012-01-02,6,45
166,2012-01-02,7,5
1,2012-01-02,7,7
22,2012-01-02,7,23
2,2012-01-02,7,93
73,2012-01-02,8,5
15,2012-01-02,8,23
1,2012-01-02,8,59
67,2012-01-02,9,5
2,2012-01-02,9,10
127,2012-01-02,9,45
84,2012-01-02,10,5
3,2012-01-02,10,21
33,2012-01-02,10,37
49,2012-01-02,11,9
71,2012-01-02,11,68
53,2012-01-02,12,16
41,2012-01-02,12,37
99,2012-01-02,13,5
120,2012-01-02,13,36
3,2012-01-02,13,46
50,2012-01-02,14,9
4,2012-01-02,14,50
265,2012-01-02,15,5
5,2012-01-02,15,17
160,2012-01-02,15,45
42,2012-01-02,16,16
102,2012-01-02,16,25
1,2012-01-02,16,39
4,2012-01-02,16,50
254,2012-01-02,17,9
68,2012-01-02,17,37
123,2012-01-02,17,48
4,2012-01-02,17,71
40,2012-01-02,18,5
16,2012-01-02,18,37
30,2012-01-02,19,16
1,2012-01-02,19,39
4,2012-01-02,19,69
11,2012-01-02,19,83
2,2012-01-02,19,93
143,2012-01-02,20,5
51,2012-01-02,20,41
4,2012-01-02,20,74
137,2012-01-02,21,5
60,2012-01-02,21,44
112,2012-01-02,22,9
57,2012-01-02,22,68
47,2012-01-02,23,5
2,2012-01-02,23,29
43,2012-01-02,23,45
148,2012-01-02,24,6
92,2012-01-02,24,43
3,2012-01-02,24,60
170,2012-01-02,25,9
1,2012-01-02,25,12
133,2012-01-02,25,45
13,2012-01-02,25,81
46,2012-01-02,26,5
56,2012-01-02,26,45
53,2012-01-02,27,9
2,2012-01-02,27,21
41,2012-01-02,27,68
69,2012-01-02,28,5
95,2012-01-02,28,45
24,2012-01-02,29,8
13,2012-01-02,29,41
110,2012-01-02,29,45
76,2012-01-02,30,16
277,2012-01-02,30,44
2,2012-01-02,30,49
2,2012-01-02,30,51
29,2012-01-02,31,9
70,2012-01-02,31,45
