units,date,store_nbr,item_nbr,station
29,2012-01-01,1,9,1
2,2012-01-01,1,28,1
1,2012-01-01,1,51,1
191,2012-01-01,2,5,14
215,2012-01-01,2,44,14
214,2012-01-01,3,5,7
112,2012-01-01,3,45,7
61,2012-01-01,4,9,9
21,2012-01-01,4,27,9
24,2012-01-01,5,16,12
1,2012-01-01,5,32,12
16,2012-01-01,5,37,12
44,2012-01-01,6,9,14
86,2012-01-01,6,45,14
137,2012-01-01,7,5,6
2,2012-01-01,7,7,6
16,2012-01-01,7,23,6
38,2012-01-01,8,5,4
4,2012-01-01,8,23,4
131,2012-01-01,9,5,17
4,2012-01-01,9,10,17
72,2012-01-01,9,45,17
4,2012-01-01,9,93,17
98,2012-01-01,10,5,12
32,2012-01-01,10,37,12
3,2012-01-01,10,93,12
74,2012-01-01,11,9,10
48,2012-01-01,11,68,10
29,2012-01-01,12,16,11
28,2012-01-01,12,37,11
2,2012-01-01,12,79,11
1,2012-01-01,12,93,11
77,2012-01-01,13,5,6
121,2012-01-01,13,36,6
1,2012-01-01,13,46,6
8,2012-01-01,14,9,16
2,2012-01-01,14,50,16
2,2012-01-01,14,70,16
64,2012-01-01,15,5,13
2,2012-01-01,15,17,13
108,2012-01-01,15,45,13
2,2012-01-01,15,49,13
25,2012-01-01,16,16,2
187,2012-01-01,16,25,2
179,2012-01-01,17,9,20
85,2012-01-01,17,37,20
147,2012-01-01,17,48,20
18,2012-01-01,18,5,17
17,2012-01-01,18,37,17
21,2012-01-01,19,16,15
10,2012-01-01,19,83,15
165,2012-01-01,20,5,7
37,2012-01-01,20,41,7
5,2012-01-01,20,74,7
58,2012-01-01,21,5,3
129,2012-01-01,21,44,3
37,2012-01-01,22,9,10
47,2012-01-01,22,68,10
3,2012-01-01,22,93,10
58,2012-01-01,23,5,17
1,2012-01-01,23,29,17
35,2012-01-01,23,45,17
42,2012-01-01,24,6,9
72,2012-01-01,24,43,9
1,2012-01-01,24,60,9
126,2012-01-01,25,9,13
90,2012-01-01,25,45,13
11,2012-01-01,25,81,13
64,2012-01-01,26,5,17
68,2012-01-01,26,45,17
26,2012-01-01,27,9,10
42,2012-01-01,27,68,10
1,2012-01-01,27,80,10
65,2012-01-01,28,5,7
68,2012-01-01,28,45,7
14,2012-01-01,29,8,3
37,2012-01-01,29,41,3
98,2012-01-01,29,45,3
16,2012-01-01,30,16,19
120,2012-01-01,30,44,19
1,2012-01-01,30,49,19
6,2012-01-01,30,51,19
40,2012-01-01,31,9,17
83,2012-01-01,31,45,17
65,2012-01-01,32,9,13
46,2012-01-01,32,45,13
8,2012-01-01,32,58,13
169,2012-01-01,33,9,3
354,2012-01-01,33,44,3
1,2012-01-01,33,85,3
1,2012-01-01,33,92,3
36,2012-01-01,34,9,17
1,2012-01-01,34,31,17
163,2012-01-01,34,45,17
1,2012-01-01,34,52,17
41,2012-01-01,36,9,18
94,2012-01-01,36,44,18
77,2012-01-01,37,5,13
53,2012-01-01,37,45,13
195,2012-01-01,38,9,14
135,2012-01-01,38,45,14
2,2012-01-01,39,9,8
6,2012-01-01,39,36,8
76,2012-01-01,40,5,13
48,2012-01-01,40,45,13
1,2012-01-01,40,51,13
42,2012-01-01,41,16,12
95,2012-01-01,41,68,12
154,2012-01-01,42,5,14
98,2012-01-01,42,45,14
71,2012-01-01,43,16,11
16,2012-01-01,43,37,11
26,2012-01-01,44,5,12
37,2012-01-01,44,68,12
7,2012-01-01,45,9,16
60,2012-01-02,1,9,1
5,2012-01-02,1,28,1
1,2012-01-02,1,51,1
147,2012-01-02,2,5,14
2,2012-01-02,2,11,14
153,2012-01-02,2,44,14
223,2012-01-02,3,5,7
114,2012-01-02,3,45,7
49,2012-01-02,4,9,9
9,2012-01-02,4,27,9
36,2012-01-02,5,16,12
1,2012-01-02,5,20,12
29,2012-01-02,5,37,12
147,2012-01-02,6,9,14
1,2012-01-02,6,14,14
