station_nbr,date,tmax,tmin,dayNum,weekday,weekend
1,2012-01-01,52,31,7,0,1
2,2012-01-01,48,33,7,0,1
3,2012-01-01,55,34,7,0,1
4,2012-01-01,63,47,7,0,1
6,2012-01-01,63,34,7,0,1
7,2012-01-01,50,33,7,0,1
8,2012-01-01,66,45,7,0,1
9,2012-01-01,34,19,7,0,1
10,2012-01-01,73,53,7,0,1
11,2012-01-01,72,48,7,0,1
12,2012-01-01,72,48,7,0,1
13,2012-01-01,38,18,7,0,1
14,2012-01-01,50,34,7,0,1
15,2012-01-01,48,26,7,0,1
16,2012-01-01,50,30,7,0,1
17,2012-01-01,56,38,7,0,1
18,2012-01-01,59,40,7,0,1
19,2012-01-01,38,25,7,0,1
20,2012-01-01,59,41,7,0,1
1,2012-01-02,50,31,1,1,0
2,2012-01-02,46,28,1,1,0
3,2012-01-02,45,24,1,1,0
4,2012-01-02,60,37,1,1,0
6,2012-01-02,60,30,1,1,0
7,2012-01-02,44,26,1,1,0
8,2012-01-02,59,36,1,1,0
9,2012-01-02,21,11,1,1,0
10,2012-01-02,65,45,1,1,0
11,2012-01-02,63,40,1,1,0
12,2012-01-02,65,47,1,1,0
13,2012-01-02,50,16,1,1,0
14,2012-01-02,45,26,1,1,0
15,2012-01-02,43,29,1,1,0
16,2012-01-02,50,30,1,1,0
17,2012-01-02,45,22,1,1,0
18,2012-01-02,53,35,1,1,0
19,2012-01-02,25,15,1,1,0
20,2012-01-02,53,33,1,1,0
1,2012-01-03,32,11,2,1,0
2,2012-01-03,28,9,2,1,0
3,2012-01-03,55,21,2,1,0
4,2012-01-03,62,31,2,1,0
6,2012-01-03,62,25,2,1,0
7,2012-01-03,60,27,2,1,0
8,2012-01-03,61,30,2,1,0
9,2012-01-03,28,10,2,1,0
10,2012-01-03,48,34,2,1,0
11,2012-01-03,44,25,2,1,0
12,2012-01-03,47,34,2,1,0
13,2012-01-03,55,31,2,1,0
14,2012-01-03,60,24,2,1,0
